Id,Store,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,Customers,Sales
97,129,4,2015-09-17,1.0,1,0,0,,2336.2678
98,130,4,2015-09-17,1.0,1,0,0,,2340.89
99,131,4,2015-09-17,1.0,1,0,0,,2348.2734
100,132,4,2015-09-17,1.0,1,0,0,,2348.3064
101,135,4,2015-09-17,1.0,1,0,0,,2360.8142
102,136,4,2015-09-17,1.0,1,0,0,,2376.602
103,137,4,2015-09-17,1.0,1,0,0,,2376.602
104,139,4,2015-09-17,1.0,1,0,0,,2376.602
105,140,4,2015-09-17,1.0,1,0,0,,2375.7952
106,141,4,2015-09-17,1.0,1,0,0,,2378.9897
107,142,4,2015-09-17,1.0,1,0,0,,2379.1292
108,143,4,2015-09-17,1.0,1,0,0,,2379.1292
109,144,4,2015-09-17,1.0,1,0,0,,2380.055
110,145,4,2015-09-17,1.0,1,0,0,,2384.3813
111,146,4,2015-09-17,1.0,1,0,0,,2417.3682
112,147,4,2015-09-17,1.0,1,0,0,,2417.0796
113,149,4,2015-09-17,1.0,1,0,0,,2417.0796
114,150,4,2015-09-17,1.0,1,0,0,,2425.1575
115,152,4,2015-09-17,1.0,1,0,0,,2445.575
116,153,4,2015-09-17,1.0,1,0,0,,2445.575
117,154,4,2015-09-17,1.0,1,0,0,,2445.5825
118,155,4,2015-09-17,1.0,1,0,0,,2449.789
119,157,4,2015-09-17,1.0,1,0,0,,2455.1619
120,158,4,2015-09-17,1.0,1,0,0,,2455.1619
121,159,4,2015-09-17,1.0,1,0,0,,2454.7344
122,160,4,2015-09-17,1.0,1,0,0,,2440.3792
123,161,4,2015-09-17,1.0,1,0,0,,2421.0947
124,162,4,2015-09-17,1.0,1,0,0,,2421.0947
125,164,4,2015-09-17,1.0,1,0,0,,2421.0947
126,165,4,2015-09-17,1.0,1,0,0,,2413.4492
127,166,4,2015-09-17,1.0,1,0,0,,2373.7144
128,168,4,2015-09-17,1.0,1,0,0,,2373.3752
129,169,4,2015-09-17,1.0,1,0,0,,2373.3547
130,170,4,2015-09-17,1.0,1,0,0,,2366.3115
131,171,4,2015-09-17,1.0,1,0,0,,2345.0742
132,172,4,2015-09-17,1.0,1,0,0,,2344.6748
133,174,4,2015-09-17,1.0,1,0,0,,2344.5632
134,175,4,2015-09-17,1.0,1,0,0,,2339.801
135,176,4,2015-09-17,1.0,1,0,0,,2337.1777
136,179,4,2015-09-17,1.0,1,0,0,,2337.2573
137,180,4,2015-09-17,1.0,1,0,0,,2336.6606
138,181,4,2015-09-17,1.0,1,0,0,,2338.3013
139,182,4,2015-09-17,1.0,1,0,0,,2338.8276
140,183,4,2015-09-17,1.0,1,0,0,,2338.8276
141,184,4,2015-09-17,1.0,1,0,0,,2338.837
142,186,4,2015-09-17,1.0,1,0,0,,2319.8557
143,187,4,2015-09-17,1.0,1,0,0,,2319.8557
144,188,4,2015-09-17,1.0,1,0,0,,2319.8557
145,189,4,2015-09-17,1.0,1,0,0,,2319.9636
146,190,4,2015-09-17,1.0,1,0,0,,2319.4102
147,191,4,2015-09-17,1.0,1,0,0,,2296.8203
148,192,4,2015-09-17,1.0,1,0,0,,2296.8203
149,193,4,2015-09-17,1.0,1,0,0,,2296.8203
150,194,4,2015-09-17,1.0,1,0,0,,2293.6914
151,195,4,2015-09-17,1.0,1,0,0,,2276.505
152,197,4,2015-09-17,1.0,1,0,0,,2229.9048
153,199,4,2015-09-17,1.0,1,0,0,,2227.5813
154,200,4,2015-09-17,1.0,1,0,0,,2231.0693
155,201,4,2015-09-17,1.0,1,0,0,,2237.6104
156,202,4,2015-09-17,1.0,1,0,0,,2237.6104
157,204,4,2015-09-17,1.0,1,0,0,,2231.1084
158,206,4,2015-09-17,1.0,1,0,0,,2225.503
159,207,4,2015-09-17,1.0,1,0,0,,2225.503
160,209,4,2015-09-17,1.0,1,0,0,,2221.6086
161,210,4,2015-09-17,1.0,1,0,0,,2222.4297
162,212,4,2015-09-17,1.0,1,0,0,,2256.6843
163,213,4,2015-09-17,1.0,1,0,0,,2262.9644
164,214,4,2015-09-17,1.0,1,0,0,,2263.0095
165,215,4,2015-09-17,1.0,1,0,0,,2263.9504
166,216,4,2015-09-17,1.0,1,0,0,,2263.0024
167,217,4,2015-09-17,1.0,1,0,0,,2263.665
168,218,4,2015-09-17,1.0,1,0,0,,2265.836
169,219,4,2015-09-17,1.0,1,0,0,,2266.688
170,220,4,2015-09-17,1.0,1,0,0,,2271.8086
171,221,4,2015-09-17,1.0,1,0,0,,2327.1665
172,224,4,2015-09-17,1.0,1,0,0,,2331.2
173,226,4,2015-09-17,1.0,1,0,0,,2374.7214
174,227,4,2015-09-17,1.0,1,0,0,,2377.0662
175,228,4,2015-09-17,1.0,1,0,0,,2377.0662
176,229,4,2015-09-17,1.0,1,0,0,,2377.0662
177,230,4,2015-09-17,1.0,1,0,0,,2377.8574
178,231,4,2015-09-17,1.0,1,0,0,,2373.1733
179,233,4,2015-09-17,1.0,1,0,0,,2376.1067
180,234,4,2015-09-17,1.0,1,0,0,,2375.8096
181,235,4,2015-09-17,1.0,1,0,0,,2371.79
182,238,4,2015-09-17,1.0,1,0,0,,2380.1628
183,239,4,2015-09-17,1.0,1,0,0,,2380.1628
184,241,4,2015-09-17,1.0,1,0,0,,2383.376
185,242,4,2015-09-17,1.0,1,0,0,,2383.641
186,243,4,2015-09-17,1.0,1,0,0,,2384.0352
187,244,4,2015-09-17,1.0,1,0,0,,2383.5994
188,245,4,2015-09-17,1.0,1,0,0,,2387.867
189,246,4,2015-09-17,1.0,1,0,0,,2395.9058
190,247,4,2015-09-17,1.0,1,0,0,,2396.6658
191,248,4,2015-09-17,1.0,1,0,0,,2396.497
192,249,4,2015-09-17,1.0,1,0,0,,2396.497
193,250,4,2015-09-17,1.0,1,0,0,,2395.9956
194,251,4,2015-09-17,1.0,1,0,0,,2388.3528
195,252,4,2015-09-17,1.0,1,0,0,,2388.4282
196,253,4,2015-09-17,1.0,1,0,0,,2388.4282
197,254,4,2015-09-17,1.0,1,0,0,,2386.8225
198,255,4,2015-09-17,1.0,1,0,0,,2374.4917
199,256,4,2015-09-17,1.0,1,0,0,,2367.3284
200,258,4,2015-09-17,1.0,1,0,0,,2367.3284
201,259,4,2015-09-17,1.0,1,0,0,,2366.086
202,262,4,2015-09-17,1.0,1,0,0,,2356.5757
203,263,4,2015-09-17,1.0,1,0,0,,2357.5327
204,265,4,2015-09-17,1.0,1,0,0,,2365.6743
205,267,4,2015-09-17,1.0,1,0,0,,2371.294
206,268,4,2015-09-17,1.0,1,0,0,,2370.735
207,269,4,2015-09-17,1.0,1,0,0,,2369.0664
208,272,4,2015-09-17,1.0,1,0,0,,2370.3499
209,273,4,2015-09-17,1.0,1,0,0,,2371.419
210,274,4,2015-09-17,1.0,1,0,0,,2375.2307
211,275,4,2015-09-17,1.0,1,0,0,,2404.0874
212,277,4,2015-09-17,1.0,1,0,0,,2404.775
213,278,4,2015-09-17,1.0,1,0,0,,2412.9785
214,279,4,2015-09-17,1.0,1,0,0,,2420.2349
215,280,4,2015-09-17,1.0,1,0,0,,2423.8848
216,281,4,2015-09-17,1.0,1,0,0,,2424.022
217,283,4,2015-09-17,1.0,1,0,0,,2428.5767
218,284,4,2015-09-17,1.0,1,0,0,,2431.0947
219,285,4,2015-09-17,1.0,1,0,0,,2432.7424
220,287,4,2015-09-17,1.0,1,0,0,,2433.78
221,288,4,2015-09-17,1.0,1,0,0,,2434.3716
222,289,4,2015-09-17,1.0,1,0,0,,2431.3994
223,290,4,2015-09-17,1.0,1,0,0,,2411.9224
224,294,4,2015-09-17,1.0,1,0,0,,2392.579
225,295,4,2015-09-17,1.0,1,0,0,,2391.6274
226,296,4,2015-09-17,1.0,1,0,0,,2389.9612
227,297,4,2015-09-17,1.0,1,0,0,,2389.9612
228,298,4,2015-09-17,1.0,1,0,0,,2384.3223
229,299,4,2015-09-17,1.0,1,0,0,,2384.3408
230,300,4,2015-09-17,1.0,1,0,0,,2384.9878
231,301,4,2015-09-17,1.0,1,0,0,,2385.8003
232,302,4,2015-09-17,1.0,1,0,0,,2385.8003
233,303,4,2015-09-17,1.0,1,0,0,,2382.4338
234,304,4,2015-09-17,1.0,1,0,0,,2381.2878
235,305,4,2015-09-17,1.0,1,0,0,,2376.8535
236,306,4,2015-09-17,1.0,1,0,0,,2378.633
237,308,4,2015-09-17,1.0,1,0,0,,2386.4702
238,309,4,2015-09-17,1.0,1,0,0,,2397.6726
239,310,4,2015-09-17,1.0,1,0,0,,2404.2397
240,311,4,2015-09-17,1.0,1,0,0,,2404.2397
241,312,4,2015-09-17,1.0,1,0,0,,2404.2397
242,314,4,2015-09-17,1.0,1,0,0,,2402.6614
243,315,4,2015-09-17,1.0,1,0,0,,2411.2053
244,316,4,2015-09-17,1.0,1,0,0,,2411.4033
245,317,4,2015-09-17,1.0,1,0,0,,2408.3892
246,319,4,2015-09-17,1.0,1,0,0,,2412.8467
247,320,4,2015-09-17,1.0,1,0,0,,2411.6475
248,323,4,2015-09-17,1.0,1,0,0,,2423.8232
249,325,4,2015-09-17,1.0,1,0,0,,2430.1626
250,326,4,2015-09-17,1.0,1,0,0,,2432.3972
251,328,4,2015-09-17,1.0,1,0,0,,2434.595
252,329,4,2015-09-17,1.0,1,0,0,,2434.7473
253,330,4,2015-09-17,1.0,1,0,0,,2449.2087
254,331,4,2015-09-17,1.0,1,0,0,,2457.662
255,333,4,2015-09-17,1.0,1,0,0,,2492.9639
256,334,4,2015-09-17,1.0,1,0,0,,2476.752
257,335,4,2015-09-17,1.0,1,0,0,,2511.3413
258,336,4,2015-09-17,1.0,1,0,0,,2522.5806
259,337,4,2015-09-17,1.0,1,0,0,,2547.5618
260,338,4,2015-09-17,1.0,1,0,0,,2547.6855
261,339,4,2015-09-17,1.0,1,0,0,,2562.2212
262,340,4,2015-09-17,1.0,1,0,0,,2562.4438
263,341,4,2015-09-17,1.0,1,0,0,,2575.259
264,342,4,2015-09-17,1.0,1,0,0,,2603.3613
265,343,4,2015-09-17,1.0,1,0,0,,2601.1335
266,344,4,2015-09-17,1.0,1,0,0,,2624.5474
267,345,4,2015-09-17,1.0,1,0,0,,2625.7668
268,346,4,2015-09-17,1.0,1,0,0,,2628.7559
269,347,4,2015-09-17,1.0,1,0,0,,2643.7622
270,348,4,2015-09-17,1.0,1,0,0,,2643.7622
271,350,4,2015-09-17,1.0,1,0,0,,2679.682
272,351,4,2015-09-17,1.0,1,0,0,,2678.8223
273,352,4,2015-09-17,1.0,1,0,0,,2683.906
274,353,4,2015-09-17,1.0,1,0,0,,2681.3994
275,354,4,2015-09-17,1.0,1,0,0,,2685.0066
276,355,4,2015-09-17,1.0,1,0,0,,2685.4927
277,356,4,2015-09-17,1.0,1,0,0,,2688.9563
278,358,4,2015-09-17,1.0,1,0,0,,2672.3599
279,359,4,2015-09-17,1.0,1,0,0,,2672.8271
280,362,4,2015-09-17,1.0,1,0,0,,2646.3826
281,364,4,2015-09-17,1.0,1,0,0,,2649.7036
282,365,4,2015-09-17,1.0,1,0,0,,2650.476
283,367,4,2015-09-17,1.0,1,0,0,,2677.198
284,368,4,2015-09-17,1.0,1,0,0,,2697.8843
285,369,4,2015-09-17,1.0,1,0,0,,2691.754
286,370,4,2015-09-17,1.0,1,0,0,,2699.2524
287,371,4,2015-09-17,1.0,1,0,0,,2697.391
288,372,4,2015-09-17,1.0,1,0,0,,2693.4138
289,373,4,2015-09-17,1.0,1,0,0,,2685.5884
290,377,4,2015-09-17,1.0,1,0,0,,2651.1482
291,378,4,2015-09-17,1.0,1,0,0,,2642.7595
292,379,4,2015-09-17,1.0,1,0,0,,2625.5369
293,380,4,2015-09-17,1.0,1,0,0,,2621.8123
294,383,4,2015-09-17,1.0,1,0,0,,2618.4917
295,385,4,2015-09-17,1.0,1,0,0,,2601.0076
296,386,4,2015-09-17,1.0,1,0,0,,2601.0076
297,387,4,2015-09-17,1.0,1,0,0,,2584.7559
298,388,4,2015-09-17,1.0,1,0,0,,2578.5688
299,389,4,2015-09-17,1.0,1,0,0,,2568.7544
300,391,4,2015-09-17,1.0,1,0,0,,2548.1956
301,392,4,2015-09-17,1.0,1,0,0,,2537.4414
302,393,4,2015-09-17,1.0,1,0,0,,2534.8413
303,394,4,2015-09-17,1.0,1,0,0,,2511.9346
304,395,4,2015-09-17,1.0,1,0,0,,2488.0664
305,397,4,2015-09-17,1.0,1,0,0,,2509.3928
306,398,4,2015-09-17,1.0,1,0,0,,2509.936
307,399,4,2015-09-17,1.0,1,0,0,,2519.5625
308,403,4,2015-09-17,1.0,1,0,0,,2512.4294
309,404,4,2015-09-17,1.0,1,0,0,,2497.8452
310,405,4,2015-09-17,1.0,1,0,0,,2497.8718
311,406,4,2015-09-17,1.0,1,0,0,,2497.9673
312,407,4,2015-09-17,1.0,1,0,0,,2496.6936
313,408,4,2015-09-17,1.0,1,0,0,,2496.381
314,409,4,2015-09-17,1.0,1,0,0,,2520.2524
315,410,4,2015-09-17,1.0,1,0,0,,2519.932
316,411,4,2015-09-17,1.0,1,0,0,,2519.9788
317,412,4,2015-09-17,1.0,1,0,0,,2513.4048
318,413,4,2015-09-17,1.0,1,0,0,,2509.662
319,414,4,2015-09-17,1.0,1,0,0,,2495.8972
320,415,4,2015-09-17,1.0,1,0,0,,2497.0354
321,416,4,2015-09-17,1.0,1,0,0,,2476.5415
322,417,4,2015-09-17,1.0,1,0,0,,2468.0613
323,418,4,2015-09-17,1.0,1,0,0,,2455.9004
324,420,4,2015-09-17,1.0,1,0,0,,2428.3972
325,421,4,2015-09-17,1.0,1,0,0,,2428.362
326,422,4,2015-09-17,1.0,1,0,0,,2422.2861
327,424,4,2015-09-17,1.0,1,0,0,,2400.151
328,425,4,2015-09-17,1.0,1,0,0,,2396.4663
329,426,4,2015-09-17,1.0,1,0,0,,2399.838
330,427,4,2015-09-17,1.0,1,0,0,,2400.124
331,428,4,2015-09-17,1.0,1,0,0,,2398.516
332,429,4,2015-09-17,1.0,1,0,0,,2400.525
333,430,4,2015-09-17,1.0,1,0,0,,2406.2646
334,431,4,2015-09-17,1.0,1,0,0,,2401.5505
335,432,4,2015-09-17,1.0,1,0,0,,2401.6318
336,433,4,2015-09-17,1.0,1,0,0,,2402.2861
337,434,4,2015-09-17,1.0,1,0,0,,2397.8174
338,435,4,2015-09-17,1.0,1,0,0,,2396.4175
339,440,4,2015-09-17,1.0,1,0,0,,2404.2192
340,441,4,2015-09-17,1.0,1,0,0,,2405.4507
341,442,4,2015-09-17,1.0,1,0,0,,2409.2888
342,445,4,2015-09-17,1.0,1,0,0,,2425.8687
343,446,4,2015-09-17,1.0,1,0,0,,2427.0178
344,447,4,2015-09-17,1.0,1,0,0,,2445.0398
345,448,4,2015-09-17,1.0,1,0,0,,2447.2373
346,449,4,2015-09-17,1.0,1,0,0,,2453.1213
347,450,4,2015-09-17,1.0,1,0,0,,2459.0
348,451,4,2015-09-17,1.0,1,0,0,,2459.0718
349,452,4,2015-09-17,1.0,1,0,0,,2465.9375
350,453,4,2015-09-17,1.0,1,0,0,,2468.1392
351,455,4,2015-09-17,1.0,1,0,0,,2479.3276
352,456,4,2015-09-17,1.0,1,0,0,,2479.233
353,457,4,2015-09-17,1.0,1,0,0,,2482.0493
354,458,4,2015-09-17,1.0,1,0,0,,2473.898
355,459,4,2015-09-17,1.0,1,0,0,,2473.9922
356,461,4,2015-09-17,1.0,1,0,0,,2473.9546
357,463,4,2015-09-17,1.0,1,0,0,,2473.4004
358,465,4,2015-09-17,1.0,1,0,0,,2473.8206
359,466,4,2015-09-17,1.0,1,0,0,,2479.8032
360,467,4,2015-09-17,1.0,1,0,0,,2474.6255
361,468,4,2015-09-17,1.0,1,0,0,,2479.7622
362,470,4,2015-09-17,1.0,1,0,0,,2483.1682
363,471,4,2015-09-17,1.0,1,0,0,,2489.9727
364,472,4,2015-09-17,1.0,1,0,0,,2489.9727
365,473,4,2015-09-17,1.0,1,0,0,,2491.5696
366,475,4,2015-09-17,1.0,1,0,0,,2493.3044
367,477,4,2015-09-17,1.0,1,0,0,,2517.0762
368,481,4,2015-09-17,1.0,1,0,0,,2526.645
369,484,4,2015-09-17,1.0,1,0,0,,2531.4648
370,485,4,2015-09-17,1.0,1,0,0,,2528.8677
371,486,4,2015-09-17,1.0,1,0,0,,2524.3557
372,487,4,2015-09-17,1.0,1,0,0,,2532.5347
373,488,4,2015-09-17,1.0,1,0,0,,2535.528
374,490,4,2015-09-17,1.0,1,0,0,,2546.454
375,491,4,2015-09-17,1.0,1,0,0,,2552.2349
376,492,4,2015-09-17,1.0,1,0,0,,2558.8352
377,493,4,2015-09-17,1.0,1,0,0,,2560.6147
378,495,4,2015-09-17,1.0,1,0,0,,2576.6533
379,497,4,2015-09-17,1.0,1,0,0,,2576.1882
380,498,4,2015-09-17,1.0,1,0,0,,2574.806
381,499,4,2015-09-17,1.0,1,0,0,,2579.5125
382,500,4,2015-09-17,1.0,1,0,0,,2577.3489
383,501,4,2015-09-17,1.0,1,0,0,,2577.3489
384,502,4,2015-09-17,1.0,1,0,0,,2575.9722
385,504,4,2015-09-17,1.0,1,0,0,,2571.626
386,505,4,2015-09-17,1.0,1,0,0,,2570.211
387,506,4,2015-09-17,1.0,1,0,0,,2572.7256
388,507,4,2015-09-17,1.0,1,0,0,,2573.1008
389,508,4,2015-09-17,1.0,1,0,0,,2567.86
390,509,4,2015-09-17,1.0,1,0,0,,2569.621
391,510,4,2015-09-17,1.0,1,0,0,,2569.0022
392,511,4,2015-09-17,1.0,1,0,0,,2564.5537
393,512,4,2015-09-17,1.0,1,0,0,,2559.4644
394,514,4,2015-09-17,1.0,1,0,0,,2548.6836
395,515,4,2015-09-17,1.0,1,0,0,,2545.8472
396,516,4,2015-09-17,1.0,1,0,0,,2542.9624
397,517,4,2015-09-17,1.0,1,0,0,,2530.4277
398,518,4,2015-09-17,1.0,1,0,0,,2526.6323
399,519,4,2015-09-17,1.0,1,0,0,,2526.7168
400,520,4,2015-09-17,1.0,1,0,0,,2519.1438
401,521,4,2015-09-17,1.0,1,0,0,,2523.173
402,522,4,2015-09-17,1.0,1,0,0,,2521.0337
403,524,4,2015-09-17,1.0,1,0,0,,2520.4485
404,527,4,2015-09-17,1.0,1,0,0,,2515.0923
405,528,4,2015-09-17,1.0,1,0,0,,2514.5254
406,529,4,2015-09-17,1.0,1,0,0,,2498.6248
407,530,4,2015-09-17,1.0,1,0,0,,2466.9053
408,531,4,2015-09-17,1.0,1,0,0,,2467.8645
409,532,4,2015-09-17,1.0,1,0,0,,2467.6558
410,533,4,2015-09-17,1.0,1,0,0,,2469.6934
411,534,4,2015-09-17,1.0,1,0,0,,2478.1587
412,535,4,2015-09-17,1.0,1,0,0,,2478.1587
413,536,4,2015-09-17,1.0,1,0,0,,2473.3018
414,537,4,2015-09-17,1.0,1,0,0,,2473.0886
415,538,4,2015-09-17,1.0,1,0,0,,2471.248
416,539,4,2015-09-17,1.0,1,0,0,,2496.0874
417,540,4,2015-09-17,1.0,1,0,0,,2512.0312
418,541,4,2015-09-17,1.0,1,0,0,,2512.5222
419,542,4,2015-09-17,1.0,1,0,0,,2512.4106
420,543,4,2015-09-17,1.0,1,0,0,,2511.622
421,545,4,2015-09-17,1.0,1,0,0,,2508.7466
422,547,4,2015-09-17,1.0,1,0,0,,2493.6387
423,548,4,2015-09-17,1.0,1,0,0,,2493.6387
424,549,4,2015-09-17,1.0,1,0,0,,2468.061
425,550,4,2015-09-17,1.0,1,0,0,,2451.2424
426,551,4,2015-09-17,1.0,1,0,0,,2428.5337
427,552,4,2015-09-17,1.0,1,0,0,,2423.5056
428,553,4,2015-09-17,1.0,1,0,0,,2410.7522
429,554,4,2015-09-17,1.0,1,0,0,,2391.3403
430,555,4,2015-09-17,1.0,1,0,0,,2390.9058
431,557,4,2015-09-17,1.0,1,0,0,,2374.5007
432,558,4,2015-09-17,1.0,1,0,0,,2369.6973
433,561,4,2015-09-17,1.0,1,0,0,,2387.3022
434,562,4,2015-09-17,1.0,1,0,0,,2390.2947
435,563,4,2015-09-17,1.0,1,0,0,,2391.949
436,564,4,2015-09-17,1.0,1,0,0,,2394.3015
437,565,4,2015-09-17,1.0,1,0,0,,2392.2046
438,566,4,2015-09-17,1.0,1,0,0,,2394.903
439,567,4,2015-09-17,1.0,1,0,0,,2396.2815
440,568,4,2015-09-17,1.0,1,0,0,,2400.7117
441,570,4,2015-09-17,1.0,1,0,0,,2414.5442
442,571,4,2015-09-17,1.0,1,0,0,,2424.7285
443,572,4,2015-09-17,1.0,1,0,0,,2424.7285
444,573,4,2015-09-17,1.0,1,0,0,,2424.4614
445,574,4,2015-09-17,1.0,1,0,0,,2423.6167
446,575,4,2015-09-17,1.0,1,0,0,,2418.6948
447,577,4,2015-09-17,1.0,1,0,0,,2418.5967
448,578,4,2015-09-17,1.0,1,0,0,,2418.4595
449,579,4,2015-09-17,1.0,1,0,0,,2417.9553
450,580,4,2015-09-17,1.0,1,0,0,,2417.6384
451,581,4,2015-09-17,1.0,1,0,0,,2417.6384
452,582,4,2015-09-17,1.0,1,0,0,,2416.1587
453,584,4,2015-09-17,1.0,1,0,0,,2417.9067
454,585,4,2015-09-17,1.0,1,0,0,,2418.5645
455,586,4,2015-09-17,1.0,1,0,0,,2424.4465
456,587,4,2015-09-17,1.0,1,0,0,,2426.4016
457,588,4,2015-09-17,1.0,1,0,0,,2424.4277
458,589,4,2015-09-17,1.0,1,0,0,,2425.1401
459,590,4,2015-09-17,1.0,1,0,0,,2428.3965
460,591,4,2015-09-17,1.0,1,0,0,,2424.5708
461,592,4,2015-09-17,1.0,1,0,0,,2424.6587
462,593,4,2015-09-17,1.0,1,0,0,,2430.3555
463,597,4,2015-09-17,1.0,1,0,0,,2444.8838
464,598,4,2015-09-17,1.0,1,0,0,,2456.3865
465,600,4,2015-09-17,1.0,1,0,0,,2462.4624
466,601,4,2015-09-17,1.0,1,0,0,,2460.8516
467,602,4,2015-09-17,1.0,1,0,0,,2467.384
